global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
5883.947168703255	n/a	34620834.28409105	n/a	6606.882620934212	n/a	n/a	43650897.96680253	5192.789424756175	n/a	26965062.00985957	n/a	5467.715897294932	4553.263272433811	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0145521415181519	n/a	0.0002117648227643	n/a	0.1771395241819391	n/a	n/a	0.0313784110274037	-0.620789600550566	n/a	n/a	0.3853797281517312	0.0169450645088088	n/a	n/a	0.0002871352112076	-0.0007444388597246	n/a	5.541892158680627e-07	n/a	0.0006628583423383	n/a	4.393811820074789e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4511.586916280768	-1372.360252422487	20354416.503155805	1883372.6624291125	3941.456156211325	-2665.4264647228874	7104498.23884515	15535076.631336153	4391.40435751468	-801.3850672414956	19284432.23119892	642218.0259976564	4210.724559291588	3245.465104505751	16.673341	313.274536	1.049525495012856	0.5810054393255987	-0.0237281952	0.0807095245	0.0427529405	-0.2420913324	0.31149267	0.4218339943	-0.2831408078	0.0277090764	-0.1040381437	0.0806989443	-0.0543890715	0.1272766062	-0.0766400154	0.034295931	-0.2496655467	0.1803735369	-0.2201540162	0.1563008084	-0.0079662466	-0.0346116868	-0.1198321177	0.104088896	-0.2886793213	0.2033595409	-0.0492826352	0.0976004948	-0.498261233	0.1005426418	-0.1763579138	0.2262333033	0.2480940785	-0.0509763164	0.0112611835	-0.0353968288	0.5353504614	-0.0669524048	0.2354646715	-0.0733117648	0.098481388	-0.0820322298	0.0605209179	-0.1620988316	0.0177074747	-0.3018509471	0.3048326451	-0.0745215415	0.1993851832	-0.2998103458	0.0332089843	-0.0839387193	0.0561318118	-0.0230754283	0.1121489578	0.1121325392	0.1121051767	0.0	-0.1595499929608053	-0.1741021344789572	0.025456200253793	0.0303115532301288	0.1976682732553882	0.020528749073449	0.0004214295385206	0.0390727462517668	-0.1758654802624164	0.4449241202881495	0.1979574728141837	0.0309286671479303	0.016467343923233	-0.0004777205855758	2.282169578828858e-07	0.000271173415886	0.004884073361274	0.0056285122209986	2.3854172598306316e-05	3.168014982193059e-05	-0.0014303186745333	-0.0020931770168716	2.045811510718696e-06	4.38139002395949e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0
4506.85587230376	-4.731043977007175	20311749.853718888	22.38277711237587	4107.886908805016	166.43075259369107	27699.195408902408	16874734.85553163	4404.415754610725	13.011397096045584	19398878.139463164	169.29645439098346	4267.728619058134	3209.73347913954	1.441535	27.084929	0.3064105410316506	0.1406023440056757	-0.0090441315	0.0926419389	0.0774752876	-0.2551811405	-0.1618001644	0.0723731008	0.022255362	-0.0978819608	0.1804257354	0.0439883788	-0.0962693398	0.1894654725	-0.0127443543	-0.1656769244	0.0104786971	-0.0156349664	-0.1671532532	0.1033015754	-0.0449144549	0.1159151988	0.1148537058	0.1795528331	0.0037163377	0.0027248614	0.1558187696	0.1985395931	-0.0537626276	-0.0526067681	-0.1469896126	0.2340325262	0.1343117013	0.0856218849	-0.1129491181	-0.0304926052	0.2672956421	-0.0164512923	0.0549563605	0.0451101809	0.038651752	0.0762442913	-0.0165917681	0.1862416762	-0.0762188671	0.1977754385	-0.2739636031	-0.0615526869	-0.0963572061	0.2760850214	-0.3463923199	-0.0699154221	-0.018726551	0.0941399932	0.1121051767	0.1119574576	0.1117114032	0.0	-0.1179007017321396	0.0416492912286657	0.0139005754689309	0.0017346634598502	0.2085895841167087	0.0109213108613205	0.0001192750309295	0.0435096146019814	-0.2393595548312959	-0.0634940745688794	0.0040314975053584	0.0572929964890361	0.0141846584848261	-0.0022826854384068	5.210652810714896e-06	0.0002012045363311	0.0039749263305848	-0.0009091470306892	1.5800039333576345e-05	8.265483234109896e-07	-0.0008152338561737	0.0006150848183595	6.64606240251841e-07	3.78329333776462e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4512.776727675826	5.920855372065489	20365153.79385253	35.05652833691676	4079.717240437423	-28.169668367593204	793.5302159401812	16644092.76192234	4398.135954690031	-6.279799920694131	19343599.875937197	39.43588704395002	4257.573677119028	3262.3318404586225	0.976544	18.348234	0.2951302547451873	0.1811462514142353	0.0174777169	0.0981797884	0.039580606	-0.2183301775	-0.0685427391	-0.0073483552	0.0600336515	0.0398045636	0.0850182142	-0.0780517726	-0.0521593665	0.1875751792	-0.046399709	-0.0116000172	-0.098235479	-0.0398881309	-0.0782281592	0.0305427867	0.0151719399	0.0681315022	0.1510161726	0.0541966766	-0.0692328025	-0.0102597189	0.1051584128	-0.0160197851	-0.022938905	0.061948681	-0.116563305	0.1942485316	0.1049634809	0.01809572	-0.0062170652	0.0699830136	0.1519919359	-0.0547052465	-0.0014693556	-0.0338943075	0.0098152579	0.0345508725	0.0667937505	-0.0250101363	0.0202489523	0.1113741524	-0.1591784343	0.0880122308	0.0234654583	0.0687888191	0.0476052121	-0.0339555168	-0.0749124894	-0.0138077331	0.1120176316	0.1116075676	0.1109252393	0.0	-0.0773400093455478	0.0405606923865917	0.0059814770455694	0.0016451697668797	0.189436701979929	-0.0191528821367796	0.0003668328941453	0.0358862640570324	-0.2459950278319667	-0.0066354730006708	4.402950194263114e-05	0.06051355371805	0.0110362196333117	-0.0031484388515144	9.912667201725318e-06	0.0001217981437946	0.0026209887026982	-0.0013539376278866	6.869581779671592e-06	1.833147100207194e-06	-0.0007419861911518	7.324766502189999e-05	5.505435078599555e-07	5.3652204311604706e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4500.248404590491	-12.528323085334703	20252235.70301926	156.9588793305305	4059.328122884921	-20.38911755250183	415.7161145697382	16478144.809244417	4390.324441271261	-7.811513418770119	19274948.69962381	61.01974189162563	4242.212217573104	3241.373715040419	0.808946	15.19925	0.3400548754456348	0.1943522842510918	0.0289019642	0.0496700929	0.0664897235	-0.1411520543	-0.028713385	0.0727923039	-0.0325867317	0.0163665345	-0.0927959082	0.0815760529	-0.0229047552	0.0457756356	-0.0082230732	-0.0800179545	-0.0820833577	0.0664674169	-0.0723229948	-0.0335576536	0.1055424751	0.0107429604	-0.0242308201	0.1103782415	-0.0377448596	0.1324907857	0.019609892	0.0750591009	0.0016682903	-0.0534490003	-0.0667756462	0.1473537341	0.0638541573	-0.0326511147	0.0338379658	0.0594747876	0.016557226	-0.0003624633	-0.048823991	0.0768847748	0.0202087237	-0.0151222006	0.0718088676	0.1010301147	0.0502185273	0.1788495827	-0.1747007212	0.0474753985	0.0072029086	-0.019060933	0.185586186	-0.0088238904	-0.039554006	0.0131482802	0.1118863567	0.1110834157	0.1097494464	0.0	-0.0546751494686361	0.0226648598769117	0.0029893719694176	0.00051369587324	0.1590506908224256	-0.0303860111575034	0.0009233096740639	0.0252971222510908	-0.166572076304817	0.0794229515271497	0.0063080052292839	0.0277462566044977	0.0082589351894664	-0.0027772844438453	7.7133088820251e-06	6.821001046380639e-05	0.0015517236820044	-0.0010692650206937	2.4078463852932924e-06	1.143327684479312e-06	-0.0004369145980095	0.0003050715931423	1.9089436595380297e-07	9.306867694238105e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4507.736012929985	7.487608339493818	20319683.96226592	56.06427864565737	4061.410255054436	2.082132169515262	4.335274371330331	16495053.25986134	4386.473726144877	-3.850715126383875	19241151.750159323	14.828006984561585	4246.152574761341	3263.3590090716325	0.70153	13.18102	0.134712413414226	0.0862355332374073	0.0428574386	0.0477244177	0.0680629522	-0.1448768143	0.0003181916	-0.1326389426	-0.037464839	0.0903843075	-0.010110449	-0.0211498794	-0.0126638639	0.0059044357	0.0032221174	-0.0043868039	-0.0543814595	0.0808590144	-0.076354825	0.0259851473	-0.028504278	0.0040766895	-0.0374460138	0.0699022864	0.0256177117	-0.0143998301	0.0234829366	0.0733128625	-0.001581562	-0.0498177733	-0.0527544123	0.1171293369	0.0498549771	0.0064408268	0.0023715815	0.0628358333	0.0165495093	-0.0632285145	0.0345510766	-0.0848124424	-0.0255015205	-0.0946567732	0.0221961693	0.0781867502	0.1090868773	0.0818662924	-0.1017872744	0.0670692472	-0.0919383525	-0.0026665023	0.1555097141	0.0205340816	0.0498224657	-0.0427654888	0.1117114032	0.1103858203	0.1081881546	0.0	-0.0543500911626466	0.0003250583059895	0.0029539324093879	1.0566290229276388e-07	0.1381763293149589	-0.0208743615074666	0.0004357389683444	0.0190926979829559	-0.1165297161527121	0.0500423601521048	0.0025042378095929	0.0135791747466316	0.0071993578950249	-0.0010595772944414	1.1227040428959687e-06	5.183075410065736e-05	0.0013449558505955	-0.0002067678314089	1.8089062400510648e-06	4.2752936105539344e-08	-0.0004338470548866	3.0675431228999964e-06	1.882232670337765e-07	9.409820810851063e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4502.366059176655	-5.369953753330265	20271300.13082592	28.836403312905794	4045.104203328048	-16.306051726388432	265.8873229036552	16362868.01578224	4381.567002100769	-4.906724044108159	19198129.39389832	24.07594084502913	4238.728836940193	3256.093925589102	0.800828	15.046714	0.1359715595830944	0.078519579765693	0.0311667289	0.0694262383	-0.1010063962	-0.0868562758	0.0119511168	-0.012956366	0.0379209598	-0.0105462226	0.042374852	-0.1091749935	0.0032107827	-0.0054174994	0.0301738084	0.0181659762	0.0113450995	0.0622581401	-0.0860560669	-0.0218772842	-0.0335910935	-0.008776466	0.017353099	0.0059827383	0.0040295413	-0.0510690402	-0.0261298139	0.0485424447	-0.0540189694	0.0033516997	-0.0281644527	0.0867803668	-0.0118146722	0.0742266786	-0.0481905093	0.0184632273	-0.0180629316	0.1114109317	0.007472376	-0.1040723855	0.0004519238	0.0645456251	0.0166397864	-0.049706944	0.1523720966	0.0434410097	-0.1753707217	-0.0143416243	-0.1065803793	0.0249891243	0.1186543276	-0.0120456643	-0.0247216119	0.0103229546	0.1114928394	0.1095158704	0.106246848	0.0	-0.0381190309636423	0.0162310601990042	0.0014530605216071	0.0002634473151837	0.1188213048440047	-0.0193550244709542	0.0003746169722712	0.0141185024848318	-0.118013387754928	-0.0014836716022159	2.20128142322192e-06	0.0139271596893949	0.00583716945344	-0.0013621884415849	1.8555573503874985e-06	3.407254722817302e-05	0.0008295328227139	-0.0005154230278816	6.881247039596905e-07	2.656608976706366e-07	-0.0003334224581347	0.0001004245967519	1.1117053558858577e-07	1.0085099632781726e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4501.091592769193	-1.2744664074616594	20259825.526497517	1.6242646237482286	4035.049911952255	-10.054291375792673	101.08877506933892	16281627.791945904	4385.393173975769	3.826171875	19231673.29035327	14.639591217041016	4239.125866788882	3253.470352879277	0.83462	15.681636	0.0821849641738635	0.0463260410486751	0.0030287881	0.014213045	0.1291297859	-0.0239032737	0.0361474078	0.0350465279	0.1177821079	0.0207792806	-0.0537139702	-0.0048346689	-0.0096205887	-0.0024184713	-0.081392402	-0.0728951877	-0.0503365161	0.0272255644	0.0222463141	0.0619585195	-0.0225136679	0.0248675782	0.0857585239	-0.1014995078	-0.0698591114	0.0846990204	0.0520057319	0.0547807393	0.0240287373	-0.0333202915	-0.0200192384	0.0660334677	-0.0098903297	0.0594898481	-0.0205202034	-0.0428258595	-0.0473164981	0.0017090304	-0.0652714438	0.0358313999	0.064884288	-0.0629295633	0.1269170663	-0.0993166405	0.0788749096	0.0582877923	-0.0339019325	-0.0039432908	-0.0641408696	0.0210627691	0.1365407706	0.0482991071	-0.0891712253	-0.0326199008	0.1112307506	0.1084749246	0.1039323455	0.0	-0.0223704556634061	0.0157485753002362	0.0005004372865884	0.0002480176239872	0.1033646271936135	-0.0154566776503912	0.0002389088839881	0.0106842461548747	-0.1185768225715264	-0.0005634348165983	3.174587925552588e-07	0.0140604628511592	0.0051350333191921	-0.0007021361342479	4.929951510165851e-07	2.6368567189213032e-05	0.0008309331623532	1.4003396393000083e-06	6.904499202982893e-07	1.9609511053948775e-12	-2.863340388914492e-05	0.0003047890542455	8.198718182788993e-10	9.289636758789993e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4495.408366470699	-5.683226298494446	20208696.38133476	32.29906115989888	4021.975106267646	-13.074805684609146	170.95054369028765	16176283.755436642	4373.221874789079	-12.171299186689794	19125069.566133708	148.14052389191562	4228.260807929984	3245.975787805628	0.7824999999999999	14.702344	0.0609402738948024	0.0308185596386979	-0.0004527762	0.0234336379	0.0478074168	-0.0990460179	0.0960416679	0.0829873848	-0.0473803541	-0.0650446438	0.0267119692	0.0289986912	0.0868343641	0.0005237689	-0.0118042111	0.1346165943	-0.0065115209	0.0298366803	0.0032188921	0.159292355	-0.1345886329	-0.082646586	-0.0006716265	0.0117080448	-0.071318978	0.0064194718	-0.0115636463	-0.0517855446	-0.0975131302	-0.0291613116	-0.0244209182	0.0658901034	0.0115331158	-0.0195862838	0.0504323842	0.0340570378	-0.0980188377	-0.1134258828	-0.0487448446	0.0314219458	0.0126032659	0.0121342753	0.0324383485	0.0896285326	0.084485093	0.0551509937	-0.0858429294	0.0368114594	-0.1097579086	-0.0305214984	0.1390419956	-0.0526955593	0.061430217	-0.0313816487	0.1109252393	0.107264608	0.1012527768	0.0	-0.0220060600442053	0.0003643956192007	0.0004842666786691	1.327841672927332e-07	0.0877819818114034	-0.0155826453822101	0.0002428188371077	0.0077056763307375	-0.1296242758284052	-0.0110474532568787	0.0001220462234629	0.0168024528840384	0.0051357649418647	7.316226726004557e-07	5.352717350630336e-13	2.6376081538086527e-05	0.0011079030111607	0.0002769698488074	1.227449082138946e-06	7.671229714844939e-08	-0.0004298475251393	-0.0004012141212501	1.847688948683812e-07	1.6097277109053417e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4495.896535719367	0.4881692486687825	20213085.65989341	0.2383092153458436	4035.097645523525	13.12253925587902	172.20103652208587	16282013.008909496	4377.135804409085	3.913929620005547	19159317.85023997	15.318845070356764	4232.236368569597	3262.249939586498	0.785046	14.750192	0.1790364779561339	0.0893034188540125	0.0210471241	0.0578349985	-0.1068706944	-0.0552311539	0.0619634938	-0.0837098122	0.0450158684	0.1137317754	0.0692339354	-0.020714105	0.0510663136	0.030597364	-0.1002897469	0.0828329644	0.0194145773	0.0329030265	-0.0869679397	-0.1062841488	-0.022272483	-0.0562951862	-0.0368151944	0.0200230166	-0.0712896059	-0.062272366	0.0537719701	-0.0262084537	0.0283617455	0.0337357016	-0.0135166166	0.0501142736	0.0084935672	-0.0299228981	0.0265042125	0.0475270319	-0.0901419041	0.1056502118	0.0305731005	-0.0046522779	-0.0261039417	0.0899624372	-0.012497113	-0.0038670063	0.0508740767	0.0397104987	0.0405788515	-0.0318755036	-0.0519757506	0.068009145	0.0583817162	-0.064635041	-0.033085731	-0.0925135042	0.1105764245	0.1058868105	0.098217554	0.0	-0.0151880205122552	0.0068180395319501	0.0002306759670806	4.6485663059234335e-05	0.0593761808401041	-0.0284058009712993	0.000806889528821	0.0035255308511567	-0.0785843529394156	0.0510399228889895	0.002605073728514	0.0061755005269066	0.0043450392613796	-0.0007907256804851	6.252471017786252e-07	1.8879366182930176e-05	0.0002409971867312	-0.0008669058244294	5.8079644012352884e-08	7.515257084297909e-07	-0.000232024738776	0.0001978227863633	5.383547940407104e-08	3.913385480453983e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
