global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25
5808.601722495925	n/a	33739853.97058263	n/a	6020.314043830423	n/a	36244181.186341815	n/a	5011.249876610009	n/a	n/a	25112625.32582383	5181.710767936093	4376.024065489581	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0150024013653506	n/a	0.000225072046727	n/a	-0.0787172241169855	n/a	n/a	0.0061964013726837	-0.5175427381036997	n/a	n/a	0.2678504857638746	0.0035080835238925	n/a	n/a	1.2306650010606022e-05	-0.0006587729627551	n/a	n/a	4.3398181645713245e-07	-0.0012948484844156	n/a	n/a	1.6766325975933764e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4421.439603844181	-1387.162118651744	19549128.170441788	1924218.7434223955	4070.96835865694	-1949.3456851734827	16572783.37718598	3799948.6003044746	4107.037420489337	-904.212456120672	817600.1658037781	16867756.373299707	4020.396703787556	3145.527107714616	17.519452	327.559052	0.6227610710843321	0.4125247512812029	-0.0016665021	-0.0015215557	0.0294730707	0.125804931	-0.0865929987	0.001792977	-0.2161365711	0.173666512	-0.0362474125	0.04981665	-0.0152979797	-0.0557517306	-0.0133449166	-0.0843866083	0.0583948733	-0.0904400606	0.0706470742	-0.0026272383	-0.0037855235	0.026199846	-0.0479600146	0.0146695971	-0.0453286477	0.0091863811	-0.0062314136	0.0139032176	-0.0172727547	0.0612013474	0.0060653868	-0.1042017119	0.036084831	-0.0545084061	0.0894702613	-0.0202879633	0.1590966673	-0.1615506588	0.1428649155	-0.1003097771	0.0273759253	-0.3375285769	0.0429955965	0.1121489578	0.1121325392	0.1121051767	0.0	-0.0050148393937234	0.0099875619716272	2.5148614144840083e-05	9.975139413709384e-05	0.0752867607325953	0.1540039848495808	0.0237172273495499	0.005668096341607	-0.1486883144445556	0.368854423659144	0.1360535858529193	0.022108214852363	0.0032367124279948	-0.0002713710958977	7.36422716887188e-08	1.0476307341535993e-05	0.0004630616251466	0.0011218345879017	1.2585128426125769e-06	2.144260686834103e-07	-0.0008897521561354	0.0004050963282802	1.6410303518609956e-07	7.916588993475933e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4405.417789697077	-16.021814147104124	19407705.90177948	256.69852856434585	4100.901583323759	29.933224666819115	16817393.796107315	895.9979389542683	4122.956925675676	15.919505186338938	253.43064537787237	16998773.81097702	4050.6512309868617	3171.3527528917466	0.951279	17.78595	0.1170591641107555	0.0762421898534747	0.0061741252	0.0083819411	0.0319954879	0.0363472834	-0.0153131406	-0.0172194598	-0.0768131158	0.0754834355	-0.0099722878	0.0097181367	-0.0103879595	-0.0070805164	-0.0160527055	0.0015008431	0.0254450829	-0.0135106845	0.0404833396	-0.0041741269	-0.0036733002	0.0198068874	-0.0495430384	0.0133011432	-0.0417412208	-0.0092399018	0.0009916401	0.026741537	-0.0087799028	0.0424329843	0.0286158077	-0.0460010451	8.81306e-05	-0.0428586011	0.0854348069	-0.09106923	0.0955942779	-0.1415260117	-0.0307577137	-0.1113049786	0.0177360329	-0.2885821561	0.1006247064	0.1121051767	0.1119574576	0.1117114032	0.0	-0.0065984826630511	-0.0015836432693277	4.353997345458594e-05	2.507926004486926e-06	0.0376511419872542	-0.0376356187453411	0.0014164397983446	0.0014176084929443	-0.0828851890113639	0.0658031254331917	0.0043300513167763	0.0068699545574495	0.0032642289895096	2.751656151479993e-05	7.571611575977689e-10	1.0655190895954863e-05	0.0004177755722327	-4.52860529139e-05	2.05082658852055e-09	1.745364287543599e-07	-0.0010576850749646	-0.0001679329188291	2.8201465226494636e-08	1.1186977178028713e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4401.259185874897	-4.15860382217943	19371082.421248164	17.293985749845362	4118.2159014533545	17.31431812959545	16959702.210983265	299.78561229283764	4121.119923854519	-1.8370018211571733	3.3745756909347717	16983629.426790673	4053.576693519519	3154.767213373323	0.709314	13.261962	0.0869429454225712	0.0467225408554905	0.0125240599	-0.0069771221	0.0389800966	-0.027836159	0.0280940386	-0.000794266	-0.0366152553	-0.0507140137	-0.0279833258	0.0109153429	-0.0005268258	-0.0015098411	-0.0273496601	0.0026710179	-0.0121496291	0.014309355	-0.0250509767	-0.0146939102	-0.0030500796	0.0206668381	-0.058193919	0.0172021867	-0.0536422069	0.0017121608	-0.0118142984	0.0175051508	-0.0034728247	0.0422062011	0.0156331615	-0.0896311222	0.0802121913	-0.0827206016	0.1099688501	-0.010403545	0.0837143306	-0.2168631795	0.1212134966	-0.1200317615	-0.0151960963	-0.3683343497	0.0257368852	0.1120176316	0.1116075676	0.1109252393	0.0	-0.0139951762961345	-0.0073966936330834	0.0001958649595598	5.4711076701696506e-05	0.0722475529483688	0.0345964109611146	0.0011969116513903	0.0052197089070273	-0.0900087426466171	-0.0071235536352532	5.074501639432911e-05	0.0081015737528249	0.0037470902102558	0.0004828612207462	2.3315495850051066e-07	1.4040685043794856e-05	0.0001450212077949	-0.0002727543644378	7.43949433198682e-08	2.1031150710291564e-08	-0.0010567749162862	9.101586783998636e-07	8.283888198665863e-13	1.1167732236917051e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4391.308981696351	-9.9502041785463	19283594.572727043	99.00656319476026	4082.6814015108	-35.5344999425547	16668287.426242188	1262.70068616742	4124.527058699325	3.4071348448060235	11.608567850691363	17011723.457942903	4051.891677709256	3136.4739404944025	0.681032	12.733175	0.1203084197191991	0.0692769207449338	0.0180401578	0.0127137771	-0.0165329775	0.0216843011	-0.0227786055	0.0035631435	-0.0805214628	0.067992585	-0.0004116473	-0.0014327046	-0.0146167691	0.0176094255	-0.0054699837	-0.00044941	0.0020792453	-0.0008815493	0.009478366	-0.009694202	0.0017096795	0.0113620425	-0.0546984863	-0.0022261725	-0.0255579416	-0.0025001459	-0.0085094628	-0.0022592252	-0.0093204253	0.0309079749	0.0072119106	-0.0246196561	0.0406138509	-0.0511273757	0.0089198438	-0.0381463888	0.1026795438	-0.0417612531	-0.0302766195	-0.0676477458	0.002159382	-0.141283409	0.0277398376	0.1118863567	0.1110834157	0.1097494464	0.0	-0.0262481586029963	-0.0122529823068617	0.000688965830048	0.0001501355754122	0.044288560821613	-0.0279589921267558	0.0007817052407439	0.0019614766196497	-0.0445098755463106	0.0454988671003065	0.0020701469074113	0.001981129021148	0.0032611929912519	-0.0004858972190039	2.3609610743572398e-07	1.0635379726190517e-05	0.0003502769806014	0.0002052557728065	4.212993227039354e-08	1.2269396313923358e-07	-0.0010575734881813	-7.98571895100058e-07	6.37717071643698e-13	1.1184616829039623e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4396.489877328315	5.180895631963722	19329123.24145034	26.84167954930077	4105.883361816406	23.201960305606462	16858278.180840794	538.3309620229379	4132.10746377481	7.580405075485032	57.46254110843924	17074312.09218349	4060.053632043184	3123.6066970507964	0.698641	13.062397	0.0720345871191406	0.0380806350104564	0.0145105086	-0.009221951	0.0131962927	0.0016867903	0.024062397	-0.0132538608	0.0030938784	-0.0695413805	-0.0268670507	-0.0085532285	0.0324751857	0.0320489156	-0.0268061762	0.0408589755	0.0067286789	0.0470538004	-0.0258353104	-0.0077704289	0.006473298	0.0129937551	-0.0278046924	-3.8696e-05	-0.0321400575	-0.0016464593	-0.0087686709	0.0120420319	-0.0146324133	0.0301559518	0.0094436229	0.0038270831	0.0622919337	0.0150369249	0.0531516467	0.0375439892	0.0176806162	-0.0515186338	0.0633170513	0.0880469512	-0.0813118888	0.0311661053	-0.0032609739	0.1117114032	0.1103858203	0.1081881546	0.0	-0.0379638235716441	-0.0117156649686478	0.0014412519001789	0.0001372568056576	0.0647916043250802	0.0205030435034672	0.000420374792905	0.0041979519910177	-0.04266467695561	0.0018451985907005	3.404757839123476e-06	0.0018202746597265	0.0029038936094523	-0.0003572993817995	1.276628482343763e-07	8.432598095017907e-06	0.0007189178921094	0.000368640911508	1.3589612163744913e-07	5.168429355950229e-07	-0.0010910467960002	-3.3473307818899936e-05	1.1204623363388274e-09	1.190383111062302e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4389.682626371751	-6.807250956563621	19269313.56027	46.338665585636335	4080.7852898092833	-25.098072007122937	16652808.581523836	629.913218474728	4124.145632192251	-7.961831582559171	63.39076214903667	17008577.19553042	4053.310070957785	3139.09967429623	0.677471	12.666596	0.1291329610721437	0.0641671461924697	0.0112933598	0.0125922696	-0.0344547308	0.0226996199	-0.0450611444	0.065909571	-0.0986871443	-0.0616569866	0.0056919789	0.0146482546	0.0064168408	0.0227591464	-0.0006174719	0.0037471495	0.0226151705	-0.0171246108	0.0374954225	-0.0027930056	0.0029989088	0.0132738169	-0.0396946788	-0.008153053	-0.0199449178	-0.0093651094	0.0034069401	0.0056526328	0.0007447015	0.0186262655	-0.0006518439	0.0091271058	0.0501258291	0.0253304306	-0.0441006829	-0.033678885	0.0878537358	0.0449610582	0.0219154312	0.0444265177	0.0009038285	0.0519123453	0.0304332802	0.1114928394	0.1095158704	0.106246848	0.0	-0.012114776285756	0.0258490472858881	0.0001467678044539	0.000668173245588	0.0300718003435491	-0.0347198039815311	0.0012054647885159	0.0009043131759022	-0.0056337247488755	0.0370309522067344	0.0013712914213374	3.173885454609232e-05	0.0026932262564013	-0.000210667353051	4.4380733641514766e-08	7.25346766816936e-06	0.000496798008295	-0.0002221198838144	4.9337242785722576e-08	2.468082610458789e-07	-0.0008931708809058	0.0001978759150944	3.9154877774446213e-08	7.977542224980427e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4383.529997399194	-6.152628972557068	19215335.23809858	37.85484327394864	4084.892270076976	4.1069802676925065	16686344.85813463	16.867286919215612	4125.539932498416	1.39430030616586	1.9440733437742117	17020079.734639037	4047.705493595823	3116.940208958489	0.701586	13.117461	0.0793926346956853	0.0385664999805282	0.0021566902	0.0123623497	-0.015063725	0.0116778721	0.0231313418	-0.0451698898	0.0806597575	-0.0063458497	-0.0002823002	0.0117653945	0.0209336951	0.0335116525	0.004597186	0.0116235018	0.0244987403	0.0477229889	-0.0191325145	0.0014528182	0.0003081205	0.0146705455	-0.0252417747	-0.0003521878	-0.0365422926	-0.0097790533	-0.0055207698	0.0151497492	-0.0006118504	0.0281628008	0.0407935437	0.0590064308	0.0032686198	0.0362177432	0.0392639541	-0.016714032	-0.0373121744	-0.0288625668	-0.0340081557	0.0542280452	-0.0909728991	0.0374191304	-0.014229976	0.1112307506	0.1084749246	0.1039323455	0.0	-0.0113679124110035	0.0007468638747525	0.0001292294325842	5.57805647410318e-07	0.0455604446883199	0.0154886443447707	0.0002398981036388	0.0020757541201974	-0.0225166485814725	-0.016882923832597	0.0002850331171372	0.0005069994633415	0.0021300955650634	-0.0005631306913378	3.171161755267011e-07	4.537307116302765e-06	0.0001959837187188	-0.0003008142895762	9.04892368132339e-08	3.840961800284971e-08	-0.000954709952863	-6.153907195719996e-05	3.787057377353435e-09	9.114710940956716e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4391.55839031847	8.028392919275575	19285785.095576547	64.45509286627419	4095.844180836397	10.951910759421024	16775939.553691374	119.94434928232202	4121.599742332664	-3.940190165752029	15.525098542288998	16987584.435996685	4054.2297373093975	3121.0003098390703	0.69881	13.065559	0.0461324006361689	0.0274368422978501	-0.0024536266	0.0068416764	-0.0080367172	0.0190507058	-0.0122602668	0.0227717315	-0.0606715401	-0.1103177767	0.0221516855	0.016163457	-0.0017278014	0.0338619938	0.013478679	0.0020882907	0.0146759931	0.0091619291	0.0105619052	0.0007552721	-0.003403792	0.0214076966	-0.0271045257	-0.0023349262	-0.0164265988	-0.00563543	0.0059394621	0.0006346986	-0.0081593658	0.0180487309	0.0280897319	0.0086558264	0.0503423016	0.0098601738	-0.0641529039	0.0139268979	0.0919634655	0.0703219961	0.0668706588	0.0084265956	-0.0169783301	0.0346124684	-0.0136112084	0.1109252393	0.107264608	0.1012527768	0.0	-0.0006153185621826	0.0107525938488209	3.7861693296646213e-07	0.0001156182744777	0.0217960264189684	-0.0237644182693515	0.0005647475756806	0.0004750667676563	-0.0225253799995641	-8.73141809160094e-06	7.623766189033619e-11	0.0005073927441247	0.0018980960176945	-0.0002319995473688	5.3823789979374416e-08	3.60276849238772e-06	0.0001960944969208	1.1077820200001628e-07	1.2271810038356412e-14	3.845305172262164e-08	-0.0009546871364358	2.2816427199955254e-08	5.20589350170858e-16	9.114275284759878e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4389.064760719858	-2.493629598611733	19263889.473792862	6.218188575072513	4083.08742388557	-12.756756950826912	16671602.9110925	162.73484790247073	4124.675911238387	3.076168905722625	9.462815136534733	17012951.37275022	4044.0308333516505	3144.146148523025	0.7562339999999999	14.139208	0.1543532194844117	0.0843532726375543	0.0144819621	-3.8162e-06	-0.0223044975	-0.0311660413	0.0285926621	-0.0306578071	0.0735071089	0.0447474043	0.0169305802	-0.001297688	-0.0060884604	0.0226622917	0.0170136325	-0.0110803706	-0.0079799654	0.0428944875	-0.0082270001	-0.0033614735	0.0061217776	0.0098665373	-0.0132108178	0.0081047551	-0.020734255	0.0027358235	-0.0066856295	0.0170757523	-0.0160575067	0.0317513947	0.0321145427	0.0492682251	-0.0253289024	0.0292060285	0.0566130288	-0.0616428287	0.0189035743	-0.0186915598	-0.1147589111	0.0768722588	-0.0355626396	0.0881901788	0.0291851583	0.1105764245	0.1058868105	0.098217554	0.0	-0.0377586692945186	-0.0371433507323359	0.0014257171068928	0.0013796285036253	0.048681519982324	0.0268854935633555	0.0007228297641452	0.0023698903877894	-0.0628632327708942	-0.0403378527713301	0.0016271423662015	0.0039517860344076	0.0026106784564573	0.0007125824387627	5.077737320331392e-07	6.81564200301027e-06	0.0003080258874976	0.0001119313905768	1.252863619645615e-08	9.487994736868413e-08	-0.001129903755444	-0.0001752166190081	3.070086357666468e-08	1.2766824965664544e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
