global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
6295.276498866532	n/a	39630506.19718126	n/a	7168.296041592685	n/a	n/a	51384468.13991335	5439.293787315803	n/a	n/a	29585916.904732287	5810.895815805288	4898.99611745012	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.972801016516314e-05	n/a	1.5783147916833059e-09	n/a	-0.0548509145627207	n/a	n/a	0.0030086228283668	0.196641914324644	n/a	0.0386680424692606	n/a	-0.0011489615150334	n/a	1.320112563027846e-06	n/a	0.0002661637942982	n/a	n/a	7.084316539521452e-08	-0.0002858466863028	n/a	8.170832807029135e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4950.074069878163	-1345.202428988369	24503233.29728016	1809569.5749562087	3931.694798916904	-3236.6012426757807	10475587.604090407	15458223.991830232	4641.21394956015	-798.079837755653	636931.4274320893	21540866.92559172	4463.977022506844	3575.7675963795514	16.619926	286.34198	0.6184417848334316	0.3391865268038666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0320834097923636	0.0320436817821984	0.0010293451839047	0.0010267975421587	0.2202500893087204	0.2751010038714411	0.0756805623310746	0.0485101018404993	0.0350790734163837	-0.1615628409082603	0.001230541391752	0.0261025515623478	-9.7821311806766e-05	0.0010511402032266	9.569009043596538e-09	1.1048957268393291e-06	-0.0003405514883028	-0.000606715282601	3.6810343414161124e-07	1.1597531618525215e-07	0.0010509829933002	0.0013368296796029	1.104565252206248e-06	1.787113592267459e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4904.945090622317	-45.12897925584548	24058486.34201997	2036.624768674532	4067.466157004616	135.7713580877121	18433.86167698174	16544280.9383779	4632.7117749221925	-8.502174637957069	72.28697357432041	21462018.38950273	4492.664609729734	3667.727133794662	1.356699	23.374352	0.156860479019649	0.0936360405085017	-0.0220821293	-0.0242484051	-0.0597003932	0.0977271652	0.0988247147	-0.0312310438	-0.0071252829	0.0240415668	-0.0255780718	-0.0334299816	-0.0064082353	0.0018399299	0.0234125956	-0.048972858	-0.125130636	0.1535985833	-0.0383284452	0.0274354306	-0.0864868854	0.1334944559	-0.0415744937	0.1357346648	-0.0371781522	-0.0556073676	0.1051679505	-0.0363323761	0.0470035003	-0.1330428529	0.0139603223	-0.016400305	0.0184262127	-0.0282192708	0.0283083649	-0.1164329255	0.0930403792	-0.0268651379	-0.0226205275	0.11250323	0.1124865505	0.112458753	0.0	0.0	0.0344965440906719	0.0024131342983082	0.0011900115541996	5.823217141671887e-06	0.3045438732919052	0.0842937839831848	0.0071054420182038	0.092746970759636	0.0742556366282514	0.0391765632118676	0.0055138995710669	0.0015348031050934	0.0002431255683273	0.000340946880134	5.911004197447262e-08	1.1624477507315319e-07	-0.000313903074693	2.6648413609800048e-05	7.101379479189764e-10	9.853514030171912e-08	0.0007990383365183	-0.0002519446567818	6.38462263225932e-07	6.347611008094937e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4887.884325286218	-17.060765336099394	23891413.177378707	291.06971385345065	3992.3232279829535	-75.14292902166244	5646.4597819546	15938644.75669223	4622.900873348577	-9.81090157361541	96.25378968716934	21371212.48480704	4467.89550520416	3704.477703745431	0.867232	14.941401	0.0997955413551679	0.0533445111628846	-0.047517595	-0.0376071402	0.0765297841	0.1066474317	-0.0617773304	-0.0343203981	-0.0071582078	0.0337595555	-0.0470472244	-0.0430848815	-0.0335488147	0.0418277829	0.1060570901	-0.0378106672	-0.1181220859	0.1678072083	-0.0636253853	-0.0216695199	0.0023796986	0.1235858429	-0.1336531744	0.1268369692	-0.0794230728	0.0302720409	0.0984538665	-0.0586151584	-0.0367295481	-0.0900591062	0.0659958685	0.0009623284	0.0435075066	0.0383661816	0.0250563101	-0.1067083358	0.0742283317	-0.0535933896	0.0046038163	0.112458753	0.1123086861	0.112058723	0.0	0.0	0.0174348244322857	-0.0170617196583862	0.0003039731029846	0.0002911022777013	0.2928445526051177	-0.0116993206867874	0.0001368741045322	0.0857579319904915	0.0882257033428857	0.0139700667146343	0.0077837747303468	0.0001951627640113	-0.0002269657429119	-0.0004700913112392	5.1513448455550694e-08	2.2098584090259041e-07	-0.0003690202456438	-5.5117170950800046e-05	3.0379025336197166e-09	1.361759416950105e-07	0.0001829581328011	-0.0006160802037172	3.347367835806494e-08	3.795548174122266e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4864.887403200602	-22.99692208561555	23667129.4458199	528.8584254118723	3946.691472389915	-45.63175559303863	2082.257118502813	15576373.578235274	4631.00735835874	8.106485010162942	65.71509921999647	21446229.153172795	4466.766347823183	3702.173579924697	1.045066	18.005278	0.096592763608415	0.0604299075778463	-0.0061567432	0.1350958052	-0.0199675407	0.1479177708	-0.0938315115	0.0651171392	-0.022264849	-0.1084245034	-0.0395716198	-0.0176901429	-0.037892299	0.0082586874	0.1178994565	-0.0335867726	-0.0967540964	0.151774228	0.0059382493	-0.0214762533	-0.1206268159	0.0507225007	-0.0540186687	0.0146245901	-0.0817893003	-0.0642243964	-0.0469672143	0.0159464009	-0.1411717109	0.0107064432	0.1200488234	0.0629208304	-0.1116401527	0.0502752115	0.0092088585	-0.0081683504	0.023006717	0.1114107	-0.0555974797	0.1123698164	0.1119532386	0.1112600859	0.0	0.0	0.0069294626275393	-0.0105053618047464	4.801745230646386e-05	0.0001103626266486	0.2361935556310044	-0.0566509969741133	0.0032093354581609	0.0557873957216163	0.092809845279163	0.0045841419362773	0.0086136673807421	2.1014357291936243e-05	-5.981410506439357e-06	0.0002209843324054	3.577727164654312e-11	4.8834075168687134e-08	-0.0001530007286709	0.0002160195169729	4.6664431713205046e-08	2.340922297382636e-08	0.0002429995412883	6.00414084872e-05	5.9048777066324215e-08	3.604970733126812e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4856.461592615104	-8.425810585498766	23585219.200545628	70.99428402270306	3960.601563387784	13.910090997869249	193.49063156900303	15686364.74390976	4627.776902311992	-3.230456046748259	10.435846269972387	21416319.057572376	4462.806581467848	3566.215517880501	1.118635	19.272779	0.0660527277794549	0.0395467537476749	0.0549699523	-0.1092883488	-0.0851595961	0.12621775	-0.0482492574	0.0741995078	0.1893162275	-0.0989615379	-0.0315926696	-0.0287289709	-0.0320164162	0.0247661013	0.1617626731	-0.0171289927	-0.1023220212	0.1817729403	0.0511759655	-0.0144890403	-0.047625039	0.0789492953	-0.0292611249	0.1260303655	0.0631125613	-0.0576653806	0.0154772171	0.145972518	0.0659457053	0.0282879827	-0.0642706687	0.0831333398	0.1092807151	-0.0763213611	0.0203435404	-0.032088757	-0.0555689548	0.1260313022	0.0003416681	0.1122364555	0.1114207701	0.1100656827	0.0	0.0	0.0075531605171903	0.0006236978896509	5.705023379844244e-05	3.889990575551109e-07	0.2051847847057786	-0.0310087709252257	0.0009615438742931	0.0421007958747567	0.0676396970481079	-0.025170148231055	0.0045751286167598	0.0006335363619732	-0.0001079750620278	-0.0001019936515213	1.1658614019907261e-08	1.0402704950660754e-08	-0.000153017603661	-1.6874990099995536e-08	2.847652908749473e-16	2.341438703015488e-08	0.0003259912294473	8.2991688159e-05	1.062702816765622e-07	6.887620303480701e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4864.625055809589	8.163463194485303	23664576.933610447	66.64213132771619	3988.1737546608665	27.572191273082357	760.2257315994386	15905529.897365753	4630.908987749302	3.1320854373097973	9.809959186608104	21445318.05281726	4468.074610209669	3549.306104915514	1.065091	18.350285	0.1534771715632925	0.0819427186229642	0.0906311199	-0.0224695671	0.120062293	0.0988100512	-0.0440955184	0.0447306171	0.0130353864	-0.0847124163	-0.0321355101	-0.0268018298	-0.0363627584	0.0280979063	0.0750949466	-0.0563918438	-0.0799404927	0.1543657586	0.0445810508	0.0066056882	-0.0207067498	0.0745826607	-0.1552418757	0.0666356258	-0.0704178877	-0.0073227932	-0.0073393358	0.0022688892	0.0419157978	-0.1148895303	-0.006144382	-0.038241321	0.0601226256	0.0998612989	6.39109e-05	-0.0111381298	0.0427576563	-0.0400331265	0.0346591208	0.112058723	0.1107121224	0.1084797619	0.0	0.0	0.0053265857156077	-0.0022265748015826	2.8372515385715996e-05	4.957635347042595e-06	0.2718087696159585	0.0666239849101799	0.0044387553653118	0.0738800072401412	0.1168575735679979	0.04921787651989	0.0136556925002	0.0024223993691271	0.0005600279620002	0.000668003024028	3.136313182220975e-07	4.462280401105527e-07	-0.0001528975124927	1.2009116829997933e-07	1.442188870365396e-14	2.3377649326455355e-08	0.0003660428208838	4.005159143650002e-05	1.3398734672056974e-07	1.6041299765963216e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4869.059022458301	4.433966648712158	23707735.764182582	19.66006024189172	3966.733262606534	-21.44049205433248	459.69469953189423	15734972.776669078	4639.891324671304	8.982336922002105	80.68237658036225	21528591.504760027	4472.821934261485	3573.129582424339	1.016547	17.513918	0.0998396920749204	0.0636947793713465	0.0743004732	0.1293452068	-0.0479080723	0.1082110399	-0.0544463933	0.042463397	-0.0529794429	-0.0807897186	-0.0273778847	0.0008183203	-0.0340876569	-0.0020649678	-0.0039514284	-0.0915093978	-0.1134492661	0.1029685274	0.0651085012	0.0607894578	-0.1213192	-0.0382745233	-0.0179042196	-0.0388144288	-0.0058209747	-0.0307563138	-0.0361132399	0.0392756274	-0.0588565278	-0.0487744204	0.0528728779	0.0390765419	-0.0498151527	0.1001081173	-0.0291354294	0.0015726027	-0.1054502834	0.0678361687	-0.0515777084	0.1118366891	0.1098284161	0.1065079649	0.0	0.0	-0.0039394548416851	-0.0092660405572928	1.5519304449676178e-05	8.585950760939506e-05	0.213193036835193	-0.0586157327807655	0.0034358041294261	0.0454512709550119	0.123184269986865	0.0063266964188671	0.0151743643721968	4.00270875765058e-05	0.0001210223396688	-0.0004390056223314	1.46464066989104e-08	1.9272593643857985e-07	-0.0001529822732406	-8.476074789999922e-08	7.184384384567222e-15	2.34035759258616e-08	0.0002925087576032	-7.353406328060004e-05	8.556137327456762e-08	5.407258462555292e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4872.653576928299	3.594554469998002	23742752.880752143	12.920821837782617	3986.964638671875	20.23137606534101	409.3085774972531	15895887.030019956	4632.390517816311	-7.500806854992334	56.262103475899984	21459041.909554478	4471.556892486312	3560.7173337603926	0.954786	16.449846	0.0929624416347973	0.0494284015394462	0.0509954322	-0.1061302811	-0.0298687043	0.0756452225	-0.0116057663	0.0182234592	0.1166308394	0.0128693561	-0.0423956479	-0.0294175574	-0.0386321349	0.032302721	-0.0020785387	-0.0841814844	-0.1004950494	0.1356166359	0.0466522078	0.0360178442	0.0108675346	0.0171250032	-0.0586684302	0.0781483965	0.0427660844	0.0396506227	0.0581588522	0.0551679011	-0.0272752032	-0.0932162897	0.0103281396	-0.018318823	0.0026707661	-0.0086148516	0.0192389544	-0.0309378934	0.0019190449	-0.0166661614	0.0599963326	0.1115704417	0.1087710484	0.1041573055	0.0	0.0	-0.0137393099172413	-0.0097998550755562	0.000188768637002	9.60371595019046e-05	0.2478958792861902	0.0347028424509971	0.0012042872741787	0.0614523669670733	0.1395694080139264	0.0163851380270613	0.0194796196533578	0.0002684727481658	-0.0002440003437267	-0.0003650226833955	5.953616773874776e-08	1.3324155939325144e-07	3.978894019152079e-06	0.0001569611672597	2.4636808027543873e-08	1.583159761564419e-11	0.0001730004866348	-0.0001195082709683	2.9929168375877624e-08	1.4282226829856513e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4882.791215522733	10.137638594434064	23841650.05438597	102.7717162713591	4008.572728382457	21.60808971058213	466.90954094056553	16068655.318731576	4637.266947130653	4.876429314341294	23.779562857767104	21504244.738950443	4473.812322424212	3608.062772922341	0.840771	14.485514	0.1201032765120894	0.0676527278713799	0.0360011535	-0.0248247339	0.1151358472	0.0941429513	-0.0153200639	0.0297610308	-0.0225687412	-0.0258279164	-0.0314334046	-0.0101252561	-0.0365670838	0.007782877	-0.0132126022	-0.0736252085	-0.1086886575	0.1159091147	0.0164189468	0.0547408426	0.0182795622	-0.0204459015	-0.1057387401	-0.0707284698	0.0319002973	0.0204923072	-0.0841362605	0.0530963079	-0.0572587892	-0.0210138308	0.0353927727	0.035972288	0.0103098195	0.1298256977	-0.0877077136	-0.0402360197	-0.1002621493	0.1106779202	0.0147727575	0.1112600859	0.1075416914	0.1014361455	0.0	0.0	0.0004222374679017	0.014161547385143	1.782844793000391e-07	0.0002005494243416	0.1971609593907715	-0.0507349198954187	0.0025740320967945	0.0388724439078894	0.1042624684178719	-0.0353069395960544	0.0108706623205877	0.0012465799836394	-5.0983093112986407e-05	0.0001930172506137	2.599275783367442e-09	3.725565903447713e-08	-0.0001530056351737	-0.0001569845291928	2.4644142405901425e-08	2.3410724394907375e-08	0.0002209960995377	4.799561290289999e-05	4.8839276010877e-08	2.3035788579250194e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
