global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
5741.850608561218	n/a	n/a	32968848.41103483	6414.9874921013325	n/a	41152064.52381654	n/a	5430.1682537782535	n/a	29486727.264341168	n/a	5524.337467577092	4697.406054857717	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0324018728372692	n/a	n/a	0.0010498813633625	0.1266323858369844	n/a	0.0160357611427668	n/a	0.2180730683769809	n/a	n/a	0.0475558631513513	0.0145020914506306	n/a	0.0002103106564424	n/a	-0.0012968665955985	n/a	n/a	1.6818629667792437e-06	-0.0006611327690442	n/a	n/a	4.370965383040515e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4397.79761396793	-1344.0529945932876	1806478.452275184	19340623.853422023	4260.639934943704	-2154.347557157628	18153052.655237094	4641213.39703104	4545.284648413797	-884.8836053644563	20659612.535106137	783018.9950427989	4376.371461252687	3241.613858591513	15.196992	314.239105	0.6638303187430177	0.5175683472360878	-0.0699560735	0.013761301	-0.085366366	0.0073034565	-0.1527117077	-0.0021749406	0.195389592	-0.1838375384	0.2417363654	-0.092390517	0.0268456808	-0.0385807164	-0.1269178176	0.0077222682	-0.0710474797	0.1112124856	-0.0791893446	0.0639468493	-0.1136268113	-0.0228419914	0.1034052177	-0.0166755543	0.2636743739	-0.0427547731	0.0365733728	-0.0489468304	0.0389207013	-0.0786065129	-0.1254072496	0.0429533156	-0.004221588	0.1816953509	-0.100397099	0.1026708964	-0.2316071227	0.2857682016	-0.0903795635	0.190589382	-0.0026538295	0.0394801461	-0.1120173151	0.0607614711	-0.132623899	0.1635826106	-0.0650009923	0.0841686587	-0.0454879593	0.0847270959	-0.0302890651	0.1500495782	-0.2203613915	0.1121489578	0.1121325392	0.1121051767	0.0	0.0607320849620407	0.0283302121247715	0.0008026009190345	0.0036883861438365	0.0695463698652361	-0.0570860159717483	0.0048366975614322	0.0032588132195267	0.176244558281823	-0.0418285100951578	0.0017496242567807	0.0310621443239549	0.0054579674037057	-0.0090441240469249	2.978940817991394e-05	8.179617977616524e-05	-0.0018582456085676	-0.0005613790129691	3.15146396202161e-07	3.4530767417607705e-06	0.0004650757820886	0.0011262085511328	1.2683457006446407e-06	2.1629548308532295e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4394.496440909298	-3.30117305863223	10.897743563039274	19311598.969164487	4354.665838264016	94.02590332031195	18963114.56294365	8840.87049520065	4545.434435798126	0.1497873843291017	20660974.21013943	0.022436260504154	4401.223217515088	3225.116664506525	1.071775	22.16186	0.1822798735324821	0.0973570120337784	0.0420506744	0.0733690544	0.0984499858	-0.0575576131	-0.1288472915	0.1912852402	0.0474298564	-0.12193367	0.0631256662	-0.1870034281	-0.0384683326	-0.0395309922	-0.0324454113	-0.0093154155	-0.0532604796	0.0200763771	-0.0731094912	-0.1051649039	-0.135734016	0.0482185313	0.0568518378	-0.0018783287	0.0724094739	0.0881727931	-0.0109177124	0.0170398351	-0.1803554408	-0.0679425862	-0.1195913035	-0.0936971095	0.0375371753	0.1914791504	-0.0242290012	0.0817847346	-0.1489892631	0.3602003337	0.004745625	0.1671382419	0.0738129492	-0.0055652198	0.0229212283	-0.0448250749	-0.0604685889	-0.0297472003	0.093775708	-0.0550943762	-0.1291525181	0.1190066801	0.04748875	0.1345058656	0.0176149014	0.1121051767	0.1119574576	0.1117114032	0.0	0.0609739587397513	0.0002418737777105	5.850292434399381e-08	0.0037178236443968	0.0918349095979351	0.0222885397326989	0.0084336506208609	0.0004967790034161	0.0713437554251754	-0.1049008028566476	0.0110041784399692	0.0050899314381672	0.0047746936540938	-0.0006832737496119	2.2797699490443604e-05	4.668630169087057e-07	-0.0021019975734326	-0.0002437519648649	5.941502037554816e-08	4.418393798716539e-06	0.0006350232109202	0.0001699474288316	2.8882128566471744e-08	4.0325447840740083e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4372.716182658883	-21.7802582504155	474.37964945479246	19120646.81408687	4283.324098115809	-71.34174014820746	18346865.32949961	5089.643887374356	4526.0026411038	-19.431794694326527	20484699.90727857	377.5946450424566	4372.023239216476	3208.076215402064	1.305039	26.985222	0.2504405191661655	0.1417119379208962	-0.0801993947	-0.0598356148	-0.0704442435	0.046937016	-0.1265771347	-0.0026693943	0.0872303016	-0.0407322971	0.23163315	-0.1086281519	0.0411846918	0.1334066299	-0.3481056411	-0.0651246514	0.0741896611	0.194273679	-0.0216938997	0.0988087894	-0.1863072213	-0.1295733302	0.2402889411	0.1835375588	0.2380598208	-0.1134348945	-0.0912056779	-0.0216321407	0.0539960348	-0.0334761671	-0.030057232	0.0990255632	0.1014609722	0.1230548534	0.0659657114	0.0141279662	-0.1897238311	0.1017853327	-0.0556155628	0.1914529146	-0.086913325	0.0380459564	-0.0752020949	0.1810025263	-0.1058513858	0.110865591	-0.1208242479	0.0170566675	0.0200338971	-0.1344710867	-0.1167752945	-0.0453940534	0.1134129226	0.1120176316	0.1116075676	0.1109252393	0.0	0.0296901253868355	-0.0312838333529158	0.000978678229253	0.000881503545486	0.1316343980531229	0.0397994884551878	0.017327614750808	0.0015839992812946	-0.0410911464806815	-0.1124349019058569	0.0126416071665796	0.0016884823190968	0.0045300407287766	-0.0002446529253172	2.052126900437483e-05	5.985505386626353e-08	-0.0021070371058178	-5.039532385199812e-06	2.5396886661477708e-11	4.43960536529305e-06	-0.0004537302404215	-0.0010887534513417	1.1853840778084634e-06	2.0587113107295217e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4396.129779018168	23.413596359285293	548.1964944755375	19325957.033970326	4326.724611529182	43.40051341337312	18720545.86401235	1883.60456454438	4542.265533743553	16.262892639752863	20632176.1790346	264.4816770121278	4393.771697755844	3267.6072851538183	1.217683	25.178909	0.4243751960990726	0.1747997027332646	0.0172725219	0.0781825567	-0.1637253424	-0.0712822261	0.0169618391	0.1710996989	0.1263405506	0.0031675889	-0.1403195059	-0.10478167	-0.0318510182	-0.0276456544	0.0168244604	0.0722548897	-0.013786434	0.0663564029	0.0712409773	-0.0351899867	-0.057056358	0.0453499197	0.0522118631	-0.1146720965	-0.0284554772	-0.0236246388	-0.0405221362	-0.182370722	-0.002574925	-0.0139178736	0.0778834987	-0.0122950966	-0.0161805882	0.082748052	0.0034915686	-0.0540158548	-0.1077202095	0.1440670592	-0.0412442272	-0.1304614204	-0.03022499	0.1631897558	-0.0068905222	0.0557944225	0.1606917751	-0.038014393	-0.052952634	-0.0259350128	0.0342444609	-0.1409285544	0.1202039411	0.0217606502	0.098464533	0.1118863567	0.1110834157	0.1097494464	0.0	-0.0227762745712709	-0.0524663999581064	0.0027527231245639	0.0005187586833459	0.093239891965581	-0.0383945060875419	0.0086936774537532	0.0014741380977062	-0.2139821218935509	-0.1728909754128694	0.0298912893792134	0.0457883484900664	0.0029700523419443	-0.0015599883868322	8.821210913888821e-06	2.433563767051641e-06	-0.0009529167962665	0.0011541203095512	1.331993688918788e-06	9.080504206068104e-07	-0.000952087836849	-0.0004983575964275	2.4836029391699505e-07	9.06471249075808e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4392.049001701684	-4.080777316484273	16.652743506732584	19290094.43334876	4313.967633056641	-12.75697847254105	18610316.73906032	162.74049974887578	4550.167273067734	7.901739324181108	20704022.212896656	62.43748434731011	4400.44547235398	3318.1408189264425	0.909175	18.799658	0.116407141233919	0.0709771534599034	0.1150352731	0.0162872455	0.0121172662	-0.1524662798	-0.0085050598	0.0756916816	0.0141043816	-0.0238988405	-0.1125283091	0.0565102416	-0.0094588465	-0.1224770215	0.0388847431	0.0022937965	-0.0066386621	-0.1767260319	-0.0194203261	-0.0600657382	-0.0550406956	0.1225963601	-0.0182189959	-0.0394731038	-0.0662937785	0.0812365609	0.0823556202	0.0867885735	-0.0103647436	-0.0140442762	0.0475420703	-0.0708097371	-0.0194210125	0.0766517821	0.0566627101	-0.0735771904	-0.0070325158	0.0677855397	0.0570200369	-0.004895522	0.1191617294	0.0068963576	0.0898968621	-0.0566623107	0.044726314	-0.0202703547	0.050760674	-0.0894687833	-0.0170041128	-0.0802043865	-0.0155079882	0.064476455	0.0937553957	0.1117114032	0.1103858203	0.1081881546	0.0	0.0144053245383446	0.0371815991096155	0.0013824713123481	0.000207513375055	0.0754952092790546	-0.0177446826865263	0.0056995266240882	0.0003148737636455	-0.2020812906317388	0.0119008312618121	0.0001416297847221	0.0408368480233892	0.0021401244898126	-0.0008299278521317	4.580132831895641e-06	6.88780239743937e-07	-0.00095134908295	1.5677133165000042e-06	2.4577250427314426e-12	9.05065077629806e-07	-0.0007919828387779	0.0001601049980711	2.5633610407346953e-08	6.272368169187012e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4372.954749998959	-19.09425170272425	364.5904480869879	19122733.245538466	4283.976214240579	-29.991418816061923	18352452.20417904	899.4852026004331	4534.493217986765	-15.674055080969085	20561628.743967965	245.67600268125275	4381.494808782345	3275.034460424902	0.8077839999999998	16.703121	0.0547238777420732	0.0342222605701218	0.0399043767	-0.1275580697	0.0345366576	-0.0602948096	0.0461035011	-0.0108847293	-0.0635990419	0.0770856408	0.0470904629	0.0890922367	0.0857239992	-0.0066567007	-0.0497593834	-0.0145577654	0.0863969046	-0.0720602906	-0.0136560067	0.0994884457	-0.0317624938	0.0101079799	0.0372355213	0.0588609033	-0.0637456122	-0.0817163249	0.0363712438	0.0643784754	0.0947161708	-0.0101066112	0.0713240009	0.0234096942	-0.0085048007	0.0135124707	0.0056127551	-0.0712190858	-0.0412804581	-0.0387062584	0.0601160804	0.0298209333	0.0786171538	-0.0634762988	0.0244198544	-0.027320793	0.0567418198	-0.0102975547	0.0282490649	0.0608824373	0.1018390816	-0.0820605548	-0.014235035	-0.0114929592	0.1462983258	0.1114928394	0.1095158704	0.106246848	0.0	0.005809678352719	-0.0085956461856256	7.388513334845993e-05	3.375236256205176e-05	0.091526674727433	0.0160314654483784	0.0083771321866613	0.0002570078844225	-0.1998986197512096	0.0021826708805292	4.764052172710126e-06	0.0399594581784386	0.0017430484565948	-0.0003970760332177	3.0382179220375142e-06	1.5766937615598336e-07	-0.0009513321862952	1.6896654800031656e-08	2.8549694343143283e-16	9.050329286812052e-07	-0.0009531718134561	-0.0001611889746781	2.5981885557809385e-08	9.085365059671902e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4371.028387130229	-1.9263628687303933	3.710873902023192	19105889.16109829	4287.98487405216	4.00865981158131	18386814.28010012	16.069353484987108	4533.4562745325775	-1.036943454187167	20552225.7930988	1.075251727181613	4376.51886858259	3244.64781210242	0.553097	11.436789	0.2658502347934075	0.1658073429940293	-0.0149357019	-0.1192638691	0.1039206673	-0.0402941421	0.0194777219	-0.0731483744	-0.0950580339	-0.0499235178	-0.0478544071	-0.0055296022	0.0676662431	-0.007511258	0.069650192	0.0364402754	0.0289642407	-0.0261247278	-0.0794482704	0.1489390184	-0.0551986068	-0.0073832282	-0.0751929044	-0.0756208306	0.0124490279	-0.124966499	0.0791449009	0.0309555147	0.0610477782	-0.0125537384	-0.0115779345	0.0291161647	-0.0287606016	0.0333042638	-0.0743492928	-0.024492986	-0.0243685031	0.0098907214	0.0676356433	0.0766632132	0.0552215193	-0.0287307932	0.0090104209	-0.0749068886	0.0083395847	-0.0165368503	0.0344574386	0.1266737907	0.0965493427	-0.0657444353	0.0414559433	-0.0368258333	0.035098258	0.1112307506	0.1084749246	0.1039323455	0.0	0.0227594227015259	0.0169497443488069	0.0002872938334899	0.0005179913217067	0.0442580735462598	-0.0472686011811732	0.0019587770740261	0.0022343206576248	-0.0744451062652586	0.125453513485951	0.0157385840459696	0.0055420738468456	0.0010969635901844	-0.0006460848664104	1.203329118190248e-06	4.174256546045446e-07	-0.0009500424033581	1.2897829371000477e-06	1.663540024834425e-12	9.025805681784348e-07	-7.697894725407174e-05	0.000876192866202	7.677139387833253e-07	5.9257583203451585e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4357.684261541316	-13.344125588912902	178.06568773268012	18989412.123284884	4277.023791503906	-10.961082548254126	18292932.513090447	120.14533062964117	4525.4077225472165	-8.048551985360973	20479315.055289984	64.77918906105806	4370.650835955585	3226.729078254852	0.716023	14.805714	0.0570797887400757	0.0368883348509966	0.0646998185	0.0328964559	0.1209981005	-0.0157422007	0.052279075	-0.0686995037	0.0104469193	0.0217584436	0.0191153385	-0.009296904	0.1276277765	0.087906892	-0.0236125819	0.0261825739	0.1040873982	-0.0275476973	-0.0407569171	-0.0163548784	0.0065469454	-0.0847550541	0.0134454777	0.0140970058	-0.0600445975	-0.0911285918	-0.0131998013	0.0606478837	-0.0757991357	-0.0124228211	-0.014248696	-0.0831432789	0.0235068822	0.0218707287	-0.0172186976	-0.0087477355	0.0632287927	0.030572924	0.0553211521	0.0890394202	0.1497535573	-0.0346876621	0.0462884265	-0.1360313994	-0.004988138	-0.1138973285	0.0974008002	-0.0320006972	0.068819041	-0.0020644953	0.0547261542	0.0181498704	0.1071658482	0.1109252393	0.107264608	0.1012527768	0.0	0.0297941663580445	0.0070347436565185	4.948761831292867e-05	0.0008876923489708	0.0464335559865674	0.0021754824403075	0.0021560751215576	4.73272384808669e-06	-0.0965197229222667	-0.022074616657008	0.0004872887005538	0.0093160569129911	0.0014308783557041	0.0003339147655197	2.047412868822469e-06	1.1149907063207637e-07	-0.0009501854839746	-1.4308061649999544e-07	2.0472062818018767e-14	9.028524539560448e-07	-0.0002588200208427	-0.0001818410735886	3.306617604386492e-08	6.698780318901567e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4369.794175854284	12.109914312967703	146.65002466742004	19095101.13933002	4295.2653697294345	18.24157822552843	18449304.59639693	332.7551761580729	4532.110852880385	6.703130333168701	20540028.78279617	44.931956263446345	4379.770056830512	3195.982266794638	0.8817859999999998	18.233322	0.0472958113432366	0.0274733022309876	-0.0582950298	-0.1071917041	0.0319213373	0.0728075006	-0.0575455108	-0.0304901905	-0.1023933795	-0.0761865574	0.0833456404	0.0468467641	0.1082974945	0.0634891214	-0.0382266558	0.066749152	0.0684649918	0.0592692291	-0.0398240645	-0.0080710559	-0.0288343021	-0.051431304	0.023650772	-0.001108432	0.0401114446	-0.1347547508	-0.071156861	0.0880244689	-0.0056865992	-0.0094005321	-0.0031324047	0.1000245102	0.0462108759	0.0422245053	-0.0278733986	-0.0037053918	-0.0324001895	-0.035499565	0.0677053983	0.089038965	0.0442764562	-0.039264114	-0.0702612945	0.0358276305	-0.0746039367	0.0045101074	0.0191544398	0.0591048543	0.1182406931	-0.0011731695	0.014379508	-0.0840449118	-0.0297684918	0.1105764245	0.1058868105	0.098217554	0.0	0.0469748436151888	0.0171806772571442	0.0002951756710141	0.0022066359326714	0.0610681595084088	0.0146346035218414	0.0037293201057444	0.0002141716202414	-0.0949507566341907	0.0015689662880759	2.4616552131189774e-06	0.0090156461854053	0.0015574492315782	0.000126570875874	2.425648108943526e-06	1.6020186619536812e-08	-0.0009500844869732	1.0099700140000623e-07	1.0200394291792858e-14	9.026605323871286e-07	-0.0001072606081947	0.000151559412648	2.2970255562206745e-08	1.1504838070296946e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
